club,review_id,rating,text,review_url,club_rating,club_reviews_total,date,text_length,pred_вход_фейсконтроль_охрана,pred_музыка_звук,pred_персонал_сервис,pred_бар_еда,pred_помещение_комфорт,pred_цены_финвопросы,pred_платный_вход,pred_безопасность_кражи,pred_контингент,pred_прочее
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2xSMWF6UTBWVVYyVG1wMlVWSlZXVXc1YlZjNVlsRRAB,5,Клуб очень нравится! Атмосферная музыка! Приятный персонал и хорошие охранники! Из улучшений хотелось побольше мест для сидений,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSMWF6UTBWVVYyVG1wMlVWSlZXVXc1YlZjNVlsRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOlR1azQ0VUV2Tmp2UVJVWUw5bVc5YlE%7C%7C?hl=ru,3.4,84,2026-02-14 22:45:59+00:00,127,0,0,0,0,1,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT21GUFFuWjFkamRRV1V4NFJtcFBaMXBvUVROaGRIYxAB,5,"Была несколько раз, все понравилось. Вкусная еда, движёвая атмосфера, ребята охрана- красавчики!",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GUFFuWjFkamRRV1V4NFJtcFBaMXBvUVROaGRIYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOmFPQnZ1djdQWUx4RmpPZ1poQTNhdHc%7C%7C?hl=ru,3.4,84,2025-12-20 20:43:52+00:00,96,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2s1R05HNTVTWEo2VWpkelVrdEZiR1Y0YzNBMmFYYxAB,1,Не впустили потому что я панк,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1R05HNTVTWEo2VWpkelVrdEZiR1Y0YzNBMmFYYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOk5GNG55SXJ6UjdzUktFbGV4c3A2aXc%7C%7C?hl=ru,3.4,84,2025-12-13 22:44:29+00:00,29,1,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT21OSWQxbzFMVVUwV0dwVU5HMTViV0ZxTTJSaWIzYxAB,3,"Все отлично,бывает сомнительный континент",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21OSWQxbzFMVVUwV0dwVU5HMTViV0ZxTTJSaWIzYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOmNId1o1LUU0WGpUNG15bWFqM2Rib3c%7C%7C?hl=ru,3.4,84,2025-11-24 07:54:40+00:00,41,0,0,0,0,0,0,0,0,1,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2t4S1lXeFpSMGRxT1hkWlpYTnBhM3B1UTBsMFQwRRAB,5,Ваще кайф:),https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4S1lXeFpSMGRxT1hkWlpYTnBhM3B1UTBsMFQwRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOkxKYWxZR0dqOXdZZXNpa3puQ0l0T0E%7C%7C?hl=ru,3.4,84,2025-11-14 20:15:43+00:00,11,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT201dlRGcDVNbUl6YzJSdmVVczRlVlE0WTNoalRGRRAB,5,Все класс. Особенно тусовки по пятницам,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201dlRGcDVNbUl6YzJSdmVVczRlVlE0WTNoalRGRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOm5vTFp5MmIzc2RveUs4eVQ4Y3hjTFE%7C%7C?hl=ru,3.4,84,2025-11-01 17:25:14+00:00,39,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT2pOVVMwbGZSVWQxYkhZMlNHdFhSVzVRWDFjNFdsRRAB,1,Полный отстой,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOVVMwbGZSVWQxYkhZMlNHdFhSVzVRWDFjNFdsRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOjNUS0lfRUd1bHY2SGtXRW5QX1c4WlE%7C%7C?hl=ru,3.4,84,2025-10-04 20:37:33+00:00,13,0,0,0,0,0,0,0,0,0,0
Izi Moscow,Ci9DQUlRQUNvZENodHljRjlvT25keU5raEhhekJNV0dNMVJXZDRZVkJOYjFkVVEyYxAB,1,"Всегда впускали, пришёл с другом не впустили. Хотя были трезвые и адекватные.  Алкоголь тут паль, было очень плохо после него.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25keU5raEhhekJNV0dNMVJXZDRZVkJOYjFkVVEyYxAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CAIQACodChtycF9oOndyNkhHazBMWGM1RWd4YVBNb1dUQ2c%7C%7C?hl=ru,3.4,84,2025-08-30 00:13:14+00:00,126,1,0,0,1,0,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VQU1B3Y2ZSenN2NnV3RRAB,5,"Мне понравилось, очень атмосферное место",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VQU1B3Y2ZSenN2NnV3RRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEPSPwcfRzsv6uwE%7C%7C?hl=ru,3.4,84,2025-06-07 13:30:09+00:00,40,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VQS2R3YjJncEwyOWRREAE,5,"Дарьепрепеемиююююю. ДАРЬЕ ПРЕМИЮ ДАЙТЕ ПРЕМИЮ, ЕСЛИ НЕ ДАДИТЕ НЕ ПРИДУ БОЛЬШЕ. ПРЕМИЮ ДАРЬЕ!!!!!!!!!!!!!!!!!!!!!",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQS2R3YjJncEwyOWRREAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEPKdwb2gpL29dQ%7C%7C?hl=ru,3.4,84,2025-06-01 01:12:08+00:00,112,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnTURJdTk3SGhBRRAB,1,"Имел опыт посетить данное заведение,помимо того что максимально грязно,в клубе не продумана система туалетов ,он общий к нему еще и очереди по 15 минут, в заведении внутри курят сигареты ,какие-то малолетки блюют ,дуют шары , также еще ,если тебе порвали браслет с тебя вздымают 500р и не отдают шмотки пока ты не заплатишь, стоишь на баре ,куришь электронную сигарету ,на что тебе бармен спокойно может сказать грубым образом ,чтобы ты не курил или тебя выкинут от сюда,при чем рядом прошел человек,который курил сигарету и вонял на весь клуб,в общем абсолютно не клиентоориентированная обрыгаловка , к посещению не рекомендую,есть много клубов куда можно сходить и где не будет такого деревенского пафоса , если хотите прийти,обожраться паленым алкоголем и потом шлефануть малолетними девочкам ,это место для вас,но если вы адекватный человек,вам там не понравится",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJdTk3SGhBRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgMDIu97HhAE%7C%7C?hl=ru,3.4,84,2025-04-13 09:08:30+00:00,866,0,0,1,1,1,1,0,0,1,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnTURJNU1lbzZnRRAB,1,"Планировали большой юбилей, забронировали стол за месяц, внесли предоплату. Приехали праздновать — и нас не пустили! На входе охранники сослались на фейсконтроль, но никаких внятных объяснений не предоставили. Мы были одеты в деловом стиле, никакого спорта, все прилично и соответствовало требованиям заведения. Охрана отказалась от каких-либо комментариев. Попросила вызвать менеджера, комментарий был аналогичный😂 «политика клуба имеет право отказать в проходе без обоснования причины». Предоплату, к слову, вернули, но это никак не компенсирует испорченный праздник и унижение перед гостями. Более того, я  услышала разговор охранников о ""трех бородатых мужчинах"". Среди нас были только славяне, и этот комментарий наводит на мысли о дискриминации по внешним признакам. Впечатление отвратительное. Категорически не рекомендую это заведение – рискуете столкнуться с непонятными ""правилами"" фейсконтроля и испортить себе торжество. Клуб IZI — место, где клиентов не уважают и портят им праздники без всяких на то оснований!",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJNU1lbzZnRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgMDI5Meo6gE%7C%7C?hl=ru,3.4,84,2025-04-07 10:24:33+00:00,1024,1,0,0,0,0,0,0,0,0,1
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnTUNRMksteW5nRRAB,1,"Музыка вообще ни о чём. Какие-то биты и иностранные сопровождения. Пришли с компанией, двоих просто развернули и не хотели пускать ни чем не объясняя. Ребятам пришлось ехать назад на другой конец Москвы",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNRMksteW5nRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgMCQ2K-yngE%7C%7C?hl=ru,3.4,84,2025-03-01 20:10:16+00:00,202,1,1,0,0,0,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSUR2eGFPYXpRRRAB,1,"Очень холодно, дверь всегда открыта входная зимой, а на самом танцполе душно... Куча молодежи 18 лет. Еда нормальная.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR2eGFPYXpRRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDvxaOazQE%7C%7C?hl=ru,3.4,84,2024-12-22 07:58:20+00:00,117,0,0,0,0,1,0,0,0,1,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSURQNlpmUndRRRAB,5,"Я сюда ещё точно вернусь потому что тут был лютый вайб «проект Х» я не знаю пхпхпх Дикий движ, все на суете, танцуют веселятся, девчонки трясут чем надо, бармены мешают вкуснятину (и цены кстати вкуснота), так что рекомендую однозначно",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURQNlpmUndRRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDP6ZfRwQE%7C%7C?hl=ru,3.4,84,2024-12-03 18:26:35+00:00,235,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSUNQbGV1ZUFnEAE,5,"Диджей теперь мой краш. Чисто вытащил из меня внутренности, перемешал и вставил обратно. Я в жизни так долго не танцевала без перерыва, ноги до сих пор болят.
Была здесь пару дней назад",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNQbGV1ZUFnEAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgICPleueAg%7C%7C?hl=ru,3.4,84,2024-11-26 14:35:13+00:00,185,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSUNQNG82alJnEAE,1,Не дали допеть одну песню артисту. Что за неуважение?! Просто все выключили. Не шли на контакт.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNQNG82alJnEAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgICP4o6jRg%7C%7C?hl=ru,3.4,84,2024-11-22 19:11:42+00:00,95,0,0,1,0,0,0,0,0,0,1
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSUMzbGJLa1ZBEAE,5,"Заходили своей тусовкой, все понравилось. Коктейли не разочаровали, атмосфера огонь. Музыка новая для меня, но ребята денсили жестко, вернусь еще распробовать!",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzbGJLa1ZBEAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIC3lbKkVA%7C%7C?hl=ru,3.4,84,2024-11-07 15:50:42+00:00,159,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSUMzOHBMd0xnEAE,5,"Мне очень зашел клуб, классный танцпол, музыка, а шары вообще что-то с чем-то. Единственное не понравилось это малое количество мест чтобы посидеть. А так крутое место",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzOHBMd0xnEAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIC38pLwLg%7C%7C?hl=ru,3.4,84,2024-11-04 12:03:53+00:00,167,0,0,0,0,1,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSURYbF9UYmxBRRAB,5,"Несколько раз посещала клуб и хочу поделиться своим опытом.
Что касается самого клуба, то он оставил только положительные впечатления. Музыка была на высоте — диджей отлично подбирал треки, и танцевать было одно удовольствие. Освещение, звуковая система - все супер! Коктейли и другие напитки были вкусными, а обслуживание — быстрым и вежливым. Я также заметила, что клуб активно проводит различные тематические вечеринки, что делает его интересным для разных категорий гостей.
Также, с самого начала меня приятно удивила дружелюбная атмосфера, которую создавали промоутеры. Они были очень приветливыми и отзывчивыми, что сразу настроило на позитивный лад. Хочу отметить, что они профессионально подходили к своему делу: не навязывали свои услуги, но в то же время были готовы ответить на все вопросы. Это создало ощущение, что они действительно заботятся о комфортном времяпрепровождении гостей клуба.
Отдельно хочу выразить благодарность Вадиму и Дане. Первый раз, как я пришла в клуб, они встретили меня с улыбкой и предложили помощь. Даня рассказал о всех акциях и мероприятиях, которые планируются в ближайшее время. Создалось ощущение, что я попала в теплую атмосферу, что очень приятно.
Вадим также впечатлил своей профессиональностью. Его энтузиазм и знание о клубе сделали моё времяпрепровождение гораздо более насыщенным.
В целом, все мои посещения в клуб были очень удачными. Работа промоутеров, атмосфера, музыка и обслуживание — все это делало мои вечера потрясающими.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYbF9UYmxBRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDXl_TblAE%7C%7C?hl=ru,3.4,84,2024-10-31 20:09:36+00:00,1481,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSURYeDhpNU1REAE,5,"Вчера провели вечер в клубе, чистый кайф! Музыка качает так, невозможно устоять. Заказали несколько коктейлей — они были крепкими то что надо! Фейсеры красавцы- в прямом смысле 😉! Приду еще!",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYeDhpNU1REAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDXx8i5MQ%7C%7C?hl=ru,3.4,84,2024-10-31 15:11:46+00:00,190,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSURYdzhuRWV3EAE,5,"Мой любимый клуб, тут всегда горячие тусовки, приятные люди, вкусная и крепкая выпивка. Я особенно люблю тут лонг айленд 🍹 Он бомбезный просто вкусный (и мощный). Изи в сердечке 💔",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYdzhuRWV3EAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDXw8nEew%7C%7C?hl=ru,3.4,84,2024-10-30 16:00:20+00:00,179,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSURYNk55cDFnRRAB,5,"Замечательный клуб, захожу не в первый раз. Выбор радует, я в шоке что клубе не только бухать,но и покушать вкусно можно. Музыка классная, я орала во все горло. Мне все понравилось в общем",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYNk55cDFnRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDX6Nyp1gE%7C%7C?hl=ru,3.4,84,2024-10-23 16:04:57+00:00,188,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSUM3N19qM3V3RRAB,3,"Вообщем окей, но охране советую не подглядывать в дверные проёмы в туалете, как-то не культурно(как какать-то). Ещё купите им рации с наушниками, советую мотороллу. Напитки тоже окей. Правда как и везде твоё оставленое пойло без присмотра может оказаться у любого типа уже в животе. Прайс на куфшин жуткий. Говорить про шарики не стану, сами знаете, пока кто-то у вас не откинется, вы на это внимание обращать не будете. Внутри клуба душно, кондик работает только над барами. Девушки на подтанцовке класс. Музыка понравилась. Стоит того или нет, решайте сами",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM3N19qM3V3RRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIC77_j3uwE%7C%7C?hl=ru,3.4,84,2024-08-19 11:51:41+00:00,558,0,0,1,0,1,1,0,1,0,1
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSURidlBpaXdRRRAB,1,"Приехали компанией друзей(5 человек)
Троих пропустили, нас оставили, друзья были одеты по дресс коду так же как мы, делали qr на проход заранее (на 2 дня раньше события), в итоге на фейсе просто забили и развернули, не объяснив ничего, даже банк показал, где видно что деньги есть😂, одеты были хорошо, не пошло, не как бомжы, документы с собой, ничего не спросили и развернули, охрана хамит, не отвечает на вопросы, на входе входят 16-ти летние просто за 2т.р, а сов.летних не пускают 😂 вообщем,не советую",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURidlBpaXdRRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgIDbvPiiwQE%7C%7C?hl=ru,3.4,84,2024-08-03 04:18:40+00:00,505,1,0,0,0,0,0,0,0,0,0
Izi Moscow,ChZDSUhNMG9nS0VJQ0FnSUN6dEpla0RBEAE,5,"Очень странно читать комментарии ""не понравилось""пойло ""охрана и тд.
Вы пришли в клуб или куда?
Бармены лучшие 💜💜💜",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN6dEpla0RBEAE!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgICztJekDA%7C%7C?hl=ru,3.4,84,2024-05-31 08:26:10+00:00,114,0,0,0,0,0,0,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSUNUMFpPLXV3RRAB,1,"Цены бешеные, охрана просто в наглую роеться в сумке, вытряхивая буквально всё, за такие деньги можно дома и развлечься веселее",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNUMFpPLXV3RRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgICT0ZO-uwE%7C%7C?hl=ru,3.4,84,2024-05-16 01:21:04+00:00,127,1,0,0,0,0,1,0,0,0,0
Izi Moscow,ChdDSUhNMG9nS0VJQ0FnSUNOdXZxWjdBRRAB,1,"Долго собиралась в этот клуб, сделали себе проходку по qr коду, в итоге фейсер решил не пускать, причин для отказа не назвал, сказал лишь такое решение, хотя сами были трезвые и в хорошей одежде (не кавказцы)

Для прохода после отказа требуют 2000 рублей за вход и якобы ты становишься подходящим для этого места
Ищите другое место для отдыха",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOdXZxWjdBRRAB!2m1!1s0x0:0xebbe3cfded529447!3m1!1s2@1:CIHM0ogKEICAgICNuvqZ7AE%7C%7C?hl=ru,3.4,84,2024-01-13 21:44:11+00:00,342,1,0,0,0,0,1,1,0,0,0
